station,total_borrow,peak_ratio,weekend_ratio,morning_net_flow_mean,evening_net_flow_mean,morning_net_flow_sum,evening_net_flow_sum,volatility,station_type,imbalance_score,risk_level,dispatch_strategy
桃園火車站(後站),0.0,0.0,0.0,,-1.0,0.0,-1.0,,穩定休閒型,1.0,Low,常規運營監控
桃園維調(測試),0.0,0.0,0.0,-1.5,-2.0,-3.0,-2.0,0.0,穩定休閒型,5.0,Low,常規運營監控
桃園高中,0.0,0.0,0.0,,,0.0,0.0,,穩定休閒型,0.0,Low,常規運營監控
梅林新村,879.0,0.5176336746302617,0.30716723549488056,-0.4342105263157895,1.9767441860465116,-33.0,170.0,2.5404290785729464,通勤型,203.0,Medium,定時監控與小規模調度
森林公園,0.0,0.0,0.0,,-1.0,0.0,-1.0,0.0,穩定休閒型,1.0,Low,常規運營監控
植物園,2354.0,0.5250637213254036,0.19753610875106203,-3.6941176470588237,2.2212389380530975,-314.0,251.0,4.403303507016297,潮汐流入型,565.0,High,高峰前提前清空車位
植福樂群路口,886.0,0.4367945823927765,0.32844243792325056,-1.9880952380952381,-0.4537037037037037,-167.0,-49.0,1.7684332889994157,穩定休閒型,216.0,Medium,定時監控與小規模調度
楓樹腳公園,0.0,0.0,0.0,,-1.0,0.0,-1.0,0.0,穩定休閒型,1.0,Low,常規運營監控
榮富公園,1736.0,0.44182027649769584,0.3283410138248848,0.38271604938271603,-2.0089285714285716,31.0,-225.0,2.4682057652780354,穩定休閒型,256.0,Medium,定時監控與小規模調度
榮富國小,0.0,0.0,0.0,,-1.1428571428571428,0.0,-8.0,0.0,穩定休閒型,8.0,Low,常規運營監控
榮星花園,6315.0,0.5415676959619953,0.3246239113222486,12.811764705882354,-8.669642857142858,1089.0,-971.0,9.285495027024057,潮汐流出型,2060.0,High,早高峰前提前補車
榮華二明德路口,3433.0,0.5479172735217012,0.2895426740460239,3.3214285714285716,-3.794642857142857,279.0,-425.0,5.26905502326855,潮汐流出型,704.0,High,早高峰前提前補車
樂利路101巷口,3246.0,0.488909426987061,0.3006777572396796,2.642857142857143,-3.229357798165138,222.0,-352.0,4.470943771295457,潮汐流出型,574.0,High,早高峰前提前補車
樂利路21巷口,2997.0,0.47781114447781114,0.31698365031698367,2.9761904761904763,-3.018018018018018,250.0,-335.0,4.059091045729036,潮汐流出型,585.0,High,早高峰前提前補車
樂康公園,511.0,0.4481409001956947,0.33072407045009783,0.9014084507042254,-0.9101123595505618,64.0,-81.0,1.2098438409021115,穩定休閒型,145.0,Medium,定時監控與小規模調度
樂群二堤頂大道口,697.0,0.5767575322812052,0.24964131994261118,-0.6794871794871795,1.231578947368421,-53.0,117.0,1.9763454343023095,通勤型,170.0,Medium,定時監控與小規模調度
樂群二敬業三路口,2945.0,0.4933786078098472,0.36095076400679116,3.1927710843373496,-2.954954954954955,265.0,-328.0,4.428519711354552,潮汐流出型,593.0,High,早高峰前提前補車
樂群二敬業四路口,7375.0,0.5640677966101695,0.28867796610169494,9.714285714285714,-7.442477876106195,816.0,-841.0,11.098257521889877,潮汐流出型,1657.0,High,早高峰前提前補車
樂群二明水路口,2546.0,0.49685781618224667,0.2800471327572663,-3.2142857142857144,1.2589285714285714,-270.0,141.0,3.7948853323671043,潮汐流入型,411.0,Medium,定時監控與小規模調度
樂群二明水路口_1,2526.0,0.5015835312747426,0.3143309580364212,-1.654320987654321,-0.2072072072072072,-134.0,-23.0,4.031685935896465,通勤型,157.0,Medium,定時監控與小規模調度
樟新街8巷,568.0,0.5580985915492958,0.35563380281690143,1.2419354838709677,0.8809523809523809,77.0,74.0,1.4836205523997115,通勤型,151.0,Medium,定時監控與小規模調度
樟樹一山光路口,0.0,0.0,0.0,-1.0,-1.8936170212765957,-2.0,-89.0,0.0,穩定休閒型,91.0,Low,常規運營監控
樟樹公園,1001.0,0.43356643356643354,0.4195804195804196,0.7333333333333333,-1.1372549019607843,55.0,-116.0,1.973088532501017,穩定休閒型,171.0,Medium,定時監控與小規模調度
樟樹國小,0.0,0.0,0.0,-1.105263157894737,-2.086206896551724,-21.0,-121.0,0.0,穩定休閒型,142.0,Medium,定時監控與小規模調度
樟樹國小(樟樹一路145巷口),0.0,0.0,0.0,-1.0,-1.3125,-1.0,-42.0,0.0,穩定休閒型,43.0,Low,常規運營監控
樟江大橋,0.0,0.0,0.0,-1.0,-1.393939393939394,-7.0,-46.0,0.0,穩定休閒型,53.0,Low,常規運營監控
樟腳里公園,1351.0,0.4478164322723908,0.3908216136195411,0.7532467532467533,-0.6886792452830188,58.0,-73.0,2.428532542601888,穩定休閒型,131.0,Medium,定時監控與小規模調度
樹德公園,1505.0,0.506312292358804,0.3116279069767442,1.3373493975903614,-1.1363636363636365,111.0,-125.0,2.2204121528979486,通勤型,236.0,Medium,定時監控與小規模調度
樹德公園_1,5158.0,0.4870104691740985,0.3136874757658007,4.337349397590361,-2.875,360.0,-322.0,6.33952335379779,潮汐流出型,682.0,High,早高峰前提前補車
樹林區公所,0.0,0.0,0.0,,-1.0,0.0,-3.0,0.0,穩定休閒型,3.0,Low,常規運營監控
樹林國小,0.0,0.0,0.0,,,0.0,0.0,,穩定休閒型,0.0,Low,常規運營監控
樹林大安活動中心,0.0,0.0,0.0,-1.0,-1.0,-1.0,-5.0,0.0,穩定休閒型,6.0,Low,常規運營監控
