ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-11-01 11:00:00,5783.808294599346,3922.4158862917343,12827.901093221171,5771.728167058073,5795.480015738826,2437.534051124338,2437.534051124338,2437.534051124338,1687.07139681508,1687.07139681508,1687.07139681508,750.4626543092577,750.4626543092577,750.4626543092577,0.0,0.0,0.0,8221.342345723684
2024-11-01 12:00:00,5776.226838564563,3561.117675503943,12067.949862947378,5763.17499223556,5788.570336212378,2159.5631252570442,2159.5631252570442,2159.5631252570442,1341.400470641192,1341.400470641192,1341.400470641192,818.1626546158526,818.1626546158526,818.1626546158526,0.0,0.0,0.0,7935.789963821608
2024-11-01 13:00:00,5768.64538252978,3791.036599593882,12932.21236429027,5754.830213366985,5781.472803559568,2398.117842879821,2398.117842879821,2398.117842879821,1517.678744191152,1517.678744191152,1517.678744191152,880.4390986886696,880.4390986886696,880.4390986886696,0.0,0.0,0.0,8166.763225409602
2024-11-01 14:00:00,5761.063926494999,4481.985070397244,13417.325560493518,5746.176728274815,5774.558767399022,3283.3289922127387,3283.3289922127387,3283.3289922127387,2346.399047226078,2346.399047226078,2346.399047226078,936.9299449866603,936.9299449866603,936.9299449866603,0.0,0.0,0.0,9044.392918707737
2024-11-01 15:00:00,5753.482470460215,6298.482130598001,14974.600865757466,5738.177152478334,5767.695713106048,4919.251018241772,4919.251018241772,4919.251018241772,3931.938240720822,3931.938240720822,3931.938240720822,987.3127775209505,987.3127775209505,987.3127775209505,0.0,0.0,0.0,10672.733488701986
2024-11-01 16:00:00,5745.901014425434,8228.285216690865,16925.541906578645,5729.903795019232,5760.713106883683,7028.001172287441,7028.001172287441,7028.001172287441,5996.693501861729,5996.693501861729,5996.693501861729,1031.307670425713,1031.307670425713,1031.307670425713,0.0,0.0,0.0,12773.902186712876
2024-11-01 17:00:00,5738.319558390652,10163.465294164604,18762.57367313732,5721.789786759399,5753.689585881082,8735.422648301346,8735.422648301346,8735.422648301346,7666.742934481871,7666.742934481871,7666.742934481871,1068.6797138194756,1068.6797138194756,1068.6797138194756,0.0,0.0,0.0,14473.742206691997
2024-11-01 18:00:00,5730.73810235587,10434.108229494881,19287.70292166142,5713.258560015464,5746.682469666149,8934.168334090687,8934.168334090687,8934.168334090687,7834.927160810476,7834.927160810476,7834.927160810476,1099.2411732802111,1099.2411732802111,1099.2411732802111,0.0,0.0,0.0,14664.906436446558
2024-11-01 19:00:00,5723.156646321087,8669.038297184163,17644.596303130173,5704.700820905806,5739.678619442695,7078.111916675172,7078.111916675172,7078.111916675172,5955.258657817161,5955.258657817161,5955.258657817161,1122.8532588580115,1122.8532588580115,1122.8532588580115,0.0,0.0,0.0,12801.268562996258
2024-11-01 20:00:00,5715.575190286304,5100.2930233268335,13907.21101649111,5696.565255196334,5732.798101518796,3723.2234713545454,3723.2234713545454,3723.2234713545454,2583.7959880025373,2583.7959880025373,2583.7959880025373,1139.4274833520076,1139.4274833520076,1139.4274833520076,0.0,0.0,0.0,9438.798661640849
2024-11-01 21:00:00,5707.993734251522,1682.8053621420167,10503.7929858878,5687.911221198422,5725.894968487319,236.4152884713632,236.4152884713632,236.4152884713632,-912.5113050462224,-912.5113050462224,-912.5113050462224,1148.9265935175854,1148.9265935175854,1148.9265935175854,0.0,0.0,0.0,5944.409022722885
2024-11-01 22:00:00,5700.41227821674,-725.2866092832248,7763.2212070512505,5679.713089507515,5718.967837671841,-2181.4508626029597,-2181.4508626029597,-2181.4508626029597,-3332.8159247363174,-3332.8159247363174,-3332.8159247363174,1151.3650621333575,1151.3650621333575,1151.3650621333575,0.0,0.0,0.0,3518.96141561378
2024-11-01 23:00:00,5692.830822181959,-2039.776452649383,7099.561742353167,5671.5572069824175,5712.088308991065,-3342.903328085374,-3342.903328085374,-3342.903328085374,-4489.712461345183,-4489.712461345183,-4489.712461345183,1146.8091332598083,1146.8091332598083,1146.8091332598083,0.0,0.0,0.0,2349.9274940965847
2024-11-02 00:00:00,5685.249366147175,-2641.740320581043,5845.846367876055,5663.067107115388,5705.167686721833,-4035.815163698555,-4035.815163698555,-4035.815163698555,-5171.191581159339,-5171.191581159339,-5171.191581159339,1135.3764174607836,1135.3764174607836,1135.3764174607836,0.0,0.0,0.0,1649.4342024486205
2024-11-02 01:00:00,5677.667910112394,-4008.60826160141,4730.368785522747,5654.205633052113,5698.233103691352,-5126.782382142781,-5126.782382142781,-5126.782382142781,-6244.017420483434,-6244.017420483434,-6244.017420483434,1117.2350383406524,1117.2350383406524,1117.2350383406524,0.0,0.0,0.0,550.8855279696127
2024-11-02 02:00:00,5670.086454077611,-5353.869870689003,3385.466185056077,5645.794591018462,5691.3638646144145,-6623.445163774175,-6623.445163774175,-6623.445163774175,-7716.04750005385,-7716.04750005385,-7716.04750005385,1092.6023362796755,1092.6023362796755,1092.6023362796755,0.0,0.0,0.0,-953.3587096965639
2024-11-02 03:00:00,5662.504998042829,-6162.054305194283,2323.102957905054,5636.981762684577,5684.642467683804,-7561.95425106541,-7561.95425106541,-7561.95425106541,-8623.697390809528,-8623.697390809528,-8623.697390809528,1061.7431397441192,1061.7431397441192,1061.7431397441192,0.0,0.0,0.0,-1899.4492530225807
2024-11-02 04:00:00,5654.923542008047,-5577.4702991156255,3324.855476301559,5628.413611415219,5678.081678182957,-6832.855699657609,-6832.855699657609,-6832.855699657609,-7857.823318679634,-7857.823318679634,-7857.823318679634,1024.9676190220257,1024.9676190220257,1024.9676190220257,0.0,0.0,0.0,-1177.9321576495622
2024-11-02 05:00:00,5647.342085973263,-3103.2112621477895,5715.469309824528,5620.006186358649,5671.493819944727,-4202.745603156429,-4202.745603156429,-4202.745603156429,-5185.374344536678,-5185.374344536678,-5185.374344536678,982.6287413802497,982.6287413802497,982.6287413802497,0.0,0.0,0.0,1444.5964828168344
2024-11-02 06:00:00,5639.760629938482,345.0738787816017,9638.2446327194,5611.713545716059,5664.801916319509,-623.2276357316508,-623.2276357316508,-623.2276357316508,-1558.346986556736,-1558.346986556736,-1558.346986556736,935.1193508250848,935.1193508250848,935.1193508250848,0.0,0.0,0.0,5016.532994206832
2024-11-02 07:00:00,5632.1791739037,3566.5054546846077,12196.461645109524,5603.552819817696,5658.161856628273,2422.0104562162423,2422.0104562162423,2422.0104562162423,1539.141556801238,1539.141556801238,1539.141556801238,882.8688994150041,882.8688994150041,882.8688994150041,0.0,0.0,0.0,8054.189630119942
2024-11-02 08:00:00,5624.597717868918,5283.682720074382,14193.640541109236,5595.042503392878,5651.5192399984,3933.464800224484,3933.464800224484,3933.464800224484,3107.12493956855,3107.12493956855,3107.12493956855,826.339860655934,826.339860655934,826.339860655934,0.0,0.0,0.0,9558.062518093402
2024-11-02 09:00:00,5617.016261834135,5277.2154601632565,13809.650158736891,5586.66701595244,5644.901809603199,3923.505250046578,3923.505250046578,3923.505250046578,3157.4813913751113,3157.4813913751113,3157.4813913751113,766.0238586714671,766.0238586714671,766.0238586714671,0.0,0.0,0.0,9540.521511880714
2024-11-02 10:00:00,5609.434805799354,4209.038517434401,13330.719214029785,5578.0760666244405,5638.405476064058,3128.321752987144,3128.321752987144,3128.321752987144,2425.884203211518,2425.884203211518,2425.884203211518,702.4375497756256,702.4375497756256,702.4375497756256,0.0,0.0,0.0,8737.756558786497
2024-11-02 11:00:00,5601.85334976457,3400.1467331642134,12002.279571384308,5569.759540896226,5631.590507930201,2323.1896923567356,2323.1896923567356,2323.1896923567356,1687.0713967834042,1687.0713967834042,1687.0713967834042,636.1182955733319,636.1182955733319,636.1182955733319,0.0,0.0,0.0,7925.043042121306
2024-11-02 12:00:00,5594.271893729789,2837.8130228390714,12147.83203255642,5561.569596780998,5624.463905807895,1909.020139236777,1909.020139236777,1909.020139236777,1341.4004706272096,1341.4004706272096,1341.4004706272096,567.619668609567,567.619668609567,567.619668609567,0.0,0.0,0.0,7503.292032966566
2024-11-02 13:00:00,5586.690437695007,2754.946969817948,11926.915828206376,5553.100726541784,5617.948368988253,2015.1855776042728,2015.1855776042728,2015.1855776042728,1517.6787441725696,1517.6787441725696,1517.6787441725696,497.5068334317028,497.5068334317028,497.5068334317028,0.0,0.0,0.0,7601.87601529928
2024-11-02 14:00:00,5579.108981660223,3971.583422226059,12753.331573985046,5544.538475206254,5611.160960925675,2772.750894128659,2772.750894128659,2772.750894128659,2346.399047264983,2346.399047264983,2346.399047264983,426.3518468636753,426.3518468636753,426.3518468636753,0.0,0.0,0.0,8351.859875788883
2024-11-02 15:00:00,5571.527525625442,5671.269433536454,14601.881069230558,5535.566408798808,5604.142887128713,4286.667162880421,4286.667162880421,4286.667162880421,3931.9382406857294,3931.9382406857294,3931.9382406857294,354.72892219469054,354.72892219469054,354.72892219469054,0.0,0.0,0.0,9858.194688505862
2024-11-02 16:00:00,5563.946069590659,7215.499040734734,16448.104549080053,5526.911369820211,5597.465567756201,6279.903203866242,6279.903203866242,6279.903203866242,5996.693501907819,5996.693501907819,5996.693501907819,283.20970195842114,283.20970195842114,283.20970195842114,0.0,0.0,0.0,11843.8492734569
2024-11-02 17:00:00,5556.364613555877,8796.776443348603,17533.16668738743,5518.064091130932,5590.742208726578,7879.101518404685,7879.101518404685,7879.101518404685,7666.742934494924,7666.742934494924,7666.742934494924,212.35858390976006,212.35858390976006,212.35858390976006,0.0,0.0,0.0,13435.466131960562
